customerId,Subscribe
115626867,0
115696215,0
115822340,0
115823054,0
115856495,0
115857670,0
115872546,0
115902405,0
116041467,0
116041470,0
116123362,0
116137137,0
116176589,0
116181356,0
116219321,0
116232428,0
116334047,0
116695291,0
116805766,0
117256370,0
117333442,0
117418489,0
117590780,0
117615134,0
117700701,0
117795516,0
118023428,0
118199846,0
118207819,0
118370849,0
118495492,0
118526828,0
118783652,0
118998612,0
119524889,0
119698225,0
119721446,0
119973740,0
120008483,0
120149538,0
120506888,0
120596535,0
120764284,0
120783529,0
120953957,0
121041709,0
121297725,0
121496621,0
121790594,0
